symbol,entry_time,exit_time,entry_price,exit_price,direction,quantity,entry_prob,expected_mfe_atr,expected_mae_atr,risk_multiplier,directional_bias,session_quality,volatility_regime,trend_regime,market_state,pnl,pnl_atr,actual_mfe,actual_mae,actual_mfe_atr,actual_mae_atr,holding_minutes,exit_reason
LT,2025-10-24 09:15:00+05:30,2025-10-24 09:22:00+05:30,3921.6,3912.9,-1,1,0.6782172330351363,2.252643462212586,0.5241043112341269,0.6753891026119738,-1,0.4,2,2,1,8.699999999999818,0.8339541156238052,18.299999999999727,0.0,1.75417934665698,0.0,7,Profit floor hit
TITAN,2025-10-24 09:18:00+05:30,2025-10-24 09:29:00+05:30,3756.9,3759.8,-1,1,0.7173212928610645,1.9636540520067596,0.4674329753847781,0.7070040845004866,-1,0.4,2,0,2,-2.900000000000091,-0.24988258342451253,9.099999999999909,-2.900000000000091,0.7841143135044724,-0.24988258342451253,11,Absorption failure (stalled)
TVSMOTOR,2025-10-24 09:26:00+05:30,2025-10-24 09:32:00+05:30,3623.0,3627.8,-1,1,0.7061271069335915,1.7013888263046142,0.3374933586141192,0.5770304471127542,-1,0.4,2,2,2,-4.800000000000182,-0.3650907081846119,0.0,-7.0,0.0,-0.5324239494358722,6,Absorption failure (stalled)
SIEMENS,2025-10-24 09:15:00+05:30,2025-10-24 09:34:00+05:30,3151.9,3153.9,1,1,0.6973405762480344,1.6811300721341365,0.5522252587524648,0.675572374693826,1,0.4,2,1,2,2.0,0.20633224046727214,7.400000000000091,-9.900000000000091,0.7634292897289162,-1.0213445903130065,19,Absorption failure (stalled)
LT,2025-10-24 09:23:00+05:30,2025-10-24 09:43:00+05:30,3910.7,3927.6,-1,1,0.7400342514375038,1.6682446628689718,0.4276720880893815,0.6506455927257027,-1,0.4,2,2,2,-16.90000000000009,-1.3301030034209922,0.0,-18.300000000000182,0.0,-1.4402890510416726,20,Absorption failure (stalled)
TATAELXSI,2025-10-27 09:19:00+05:30,2025-10-27 09:29:00+05:30,5546.0,5539.0,-1,1,0.6913266081310994,2.081618838086001,0.49443494057673293,0.695815595692824,-1,0.4,2,0,2,7.0,0.48012903139813373,23.0,-5.0,1.5775668174510107,-0.3429493081415241,10,Profit floor hit
TITAN,2025-10-27 09:18:00+05:30,2025-10-27 09:33:00+05:30,3722.1,3720.1,1,1,0.7047971866690143,1.8083360569377365,0.6062120586445273,0.6954092961738221,1,0.4,2,1,2,-2.0,-0.1956379045245009,3.599999999999909,-10.799999999999727,0.35214822814409275,-1.0564446844322781,15,Absorption failure (stalled)
LT,2025-10-27 09:15:00+05:30,2025-10-27 09:45:00+05:30,3927.0,3944.2,-1,1,0.8371794077240499,2.1837746746135465,0.5629104880633828,0.7408098684210953,-1,0.4,2,1,2,-17.199999999999818,-1.5937413203035369,8.199999999999818,-17.199999999999818,0.7598069085167937,-1.5937413203035369,30,Max loss hit
SIEMENS,2025-10-27 09:17:00+05:30,2025-10-27 09:45:00+05:30,3171.0,3150.4,-1,1,0.7247763720604543,1.776031189202935,0.49006833482009166,0.7514162771776666,-1,0.4,2,1,2,20.59999999999991,1.9814573896039231,22.59999999999991,0.0,2.1738318934489653,0.0,27,Session stopped (bad day)
TATAELXSI,2025-10-27 09:37:00+05:30,2025-10-27 09:45:00+05:30,5551.0,5565.0,-1,1,0.6858031606111314,1.4052439391707463,0.28197327090893876,0.6142000912295846,-1,0.4,2,0,2,-14.0,-0.7345638731639802,8.0,-11.5,0.41975078466513155,-0.6033917529561266,7,Session stopped (bad day)
LT,2025-10-28 09:15:00+05:30,2025-10-28 09:22:00+05:30,3936.8,3943.6,-1,1,0.7572583865425632,2.3438921901744205,0.4860082301747795,0.71841674469759,-1,0.4,2,0,2,-6.799999999999727,-0.6602015813002494,0.0,-7.599999999999909,0.0,-0.7378723555708877,7,Absorption failure (stalled)
SIEMENS,2025-10-28 09:15:00+05:30,2025-10-28 09:25:00+05:30,3155.7,3152.4,-1,1,0.7454416302094831,2.233887218651046,0.5004834685099505,0.7797479422582433,-1,0.4,2,0,2,3.299999999999727,0.4775685497120009,8.299999999999727,-1.2000000000002728,1.2011572613969106,-0.1736612908044178,10,Profit floor hit
SIEMENS,2025-10-28 09:26:00+05:30,2025-10-28 09:34:00+05:30,3154.9,3152.9,-1,1,0.6942669067928626,1.5434220188133387,0.45038524868428587,0.7306052361211841,-1,0.4,2,0,2,2.0,0.2554147358591415,2.0,-0.7999999999997272,0.2554147358591415,-0.10216589434362174,8,Absorption failure (stalled)
SIEMENS,2025-10-28 09:35:00+05:30,2025-10-28 09:41:00+05:30,3152.0,3152.0,-1,1,0.8286186287500567,1.7097720887043364,0.42129489419152644,0.7506456573094302,-1,0.7,2,0,1,-0.0,-0.0,0.6999999999998181,-1.0,0.10331406224206198,-0.1475915174886983,6,Absorption failure (stalled)
LT,2025-10-28 09:23:00+05:30,2025-10-28 09:42:00+05:30,3948.7,3965.0,-1,1,0.6632077326106914,1.9181293959638408,0.5331439040832805,0.7486588140397702,-1,0.4,2,0,2,-16.300000000000182,-1.59492636371031,1.199999999999818,-16.300000000000182,0.11741789180687488,-1.59492636371031,19,Max loss hit
SIEMENS,2025-10-29 09:15:00+05:30,2025-10-29 09:26:00+05:30,3123.6,3140.4,-1,1,0.7321125463365956,1.7175098972890028,0.49858301014279033,0.7783543704273859,-1,0.4,2,2,2,-16.800000000000182,-1.8482207953331864,0.0,-16.800000000000182,0.0,-1.8482207953331864,11,Max loss hit
LT,2025-10-29 09:15:00+05:30,2025-10-29 09:50:00+05:30,3996.5,3997.2,-1,1,0.836263378200249,2.8830593957608546,0.4812796620660938,0.7336168093242033,-1,0.4,2,1,2,-0.6999999999998181,-0.05534954976341404,11.5,-18.5,0.9093140318277526,-1.4628095294620367,35,Absorption failure (stalled)
SIEMENS,2025-10-29 09:28:00+05:30,2025-10-29 09:56:00+05:30,3147.3,3139.5,-1,1,0.6927027550162648,1.7892446736431153,0.5969008443824455,0.8003720210518298,-1,0.4,2,2,2,7.800000000000182,0.7226580414599497,15.800000000000182,-2.699999999999818,1.46384577629065,-0.2501508605053445,28,Profit floor hit
TATAELXSI,2025-10-29 09:27:00+05:30,2025-10-29 09:56:00+05:30,5548.0,5514.0,-1,1,0.7065874254253631,1.39428827699182,0.36595276247117975,0.6186699742762534,-1,0.4,2,0,2,34.0,2.0918130244659165,36.0,-1.5,2.2148608494345,-0.0922858687264375,28,Session stopped (bad day)
SIEMENS,2025-10-30 09:18:00+05:30,2025-10-30 09:22:00+05:30,3154.9,3149.2,-1,1,0.6986609521192746,1.4993210728684496,0.4538792821281201,0.6698924349643486,-1,0.4,2,1,2,5.700000000000273,0.5368781073817792,14.099999999999909,0.0,1.328066897207487,0.0,4,Profit floor hit
TVSMOTOR,2025-10-30 09:18:00+05:30,2025-10-30 09:23:00+05:30,3506.3,3507.5,-1,1,0.7395230458513915,3.6505818300488877,0.5910993201879523,0.666426514914291,-1,0.4,2,1,2,-1.199999999999818,-0.13871189892638552,10.100000000000364,-2.5,1.1674918159639638,-0.288983122763347,5,Profit floor hit
TVSMOTOR,2025-10-30 09:24:00+05:30,2025-10-30 09:34:00+05:30,3507.0,3523.5,-1,1,0.6988994798038005,2.8744163031513947,0.4263686697692611,0.6064077245445922,-1,0.4,2,1,2,-16.5,-1.837248838850825,0.0,-16.5,0.0,-1.837248838850825,10,Max loss hit
LT,2025-10-30 09:15:00+05:30,2025-10-30 09:34:00+05:30,4030.6,4032.5,-1,1,0.7478792980884389,2.3346780831481704,0.4289832931831782,0.7023406361284954,-1,0.4,2,1,2,-1.900000000000091,-0.07204038118168067,20.09999999999991,-17.90000000000009,0.7621114009219504,-0.6786962227115941,18,Session stopped (bad day)
TITAN,2025-10-30 09:32:00+05:30,2025-10-30 09:34:00+05:30,3724.6,3720.7,-1,1,0.6816064495845218,1.6778456967222792,0.47415854039264593,0.711580108215558,-1,0.4,2,0,2,3.900000000000091,0.47379361297096,3.5,0.0,0.4251993962559798,0.0,1,Session stopped (bad day)
SIEMENS,2025-10-30 09:26:00+05:30,2025-10-30 09:34:00+05:30,3144.9,3140.2,-1,1,0.7270524897172684,1.5426546517029718,0.43146904816916803,0.6952934369497933,-1,0.4,2,0,2,4.700000000000273,0.3810345813624236,10.400000000000091,-4.0,0.8431403502487255,-0.3242847500956608,7,Session stopped (bad day)
TITAN,2025-10-31 09:17:00+05:30,2025-10-31 09:21:00+05:30,3748.9,3762.7,-1,1,0.6751698592951556,1.801137174760361,0.41120887117578403,0.6705045424529539,-1,0.4,2,0,2,-13.799999999999727,-1.683416288783492,0.0,-13.799999999999727,0.0,-1.683416288783492,4,Max loss hit
LT,2025-10-31 09:15:00+05:30,2025-10-31 09:23:00+05:30,3986.0,4005.0,-1,1,0.7988317588230786,2.37165186361682,0.5730110937198324,0.7208707081400956,-1,0.4,2,0,2,-19.0,-1.6426900710613694,0.0,-19.0,0.0,-1.6426900710613694,8,Max loss hit
LT,2025-10-31 09:29:00+05:30,2025-10-31 09:36:00+05:30,4000.4,4020.9,-1,1,0.6112176328983252,1.2460770117477555,0.3896962720826456,0.6053838143887791,-1,0.4,2,0,2,-20.5,-1.6438806191119384,0.0,-20.5,0.0,-1.6438806191119384,7,Max loss hit
SIEMENS,2025-10-31 09:15:00+05:30,2025-10-31 09:36:00+05:30,3132.4,3148.5,1,1,0.8552988904409601,2.268404265012038,0.531978494964466,0.7363912053689153,1,0.4,2,1,2,16.09999999999991,2.45962059055939,14.400000000000091,-6.700000000000273,2.1999090996307853,-1.0235688171893589,20,Session stopped (bad day)
TVSMOTOR,2025-10-31 09:32:00+05:30,2025-10-31 09:37:00+05:30,3536.3,3537.3,-1,1,0.7295835963330174,2.6706501769480786,0.4646758131217882,0.66840990536064,-1,0.4,2,1,2,-1.0,-0.1023141471199512,4.400000000000091,-7.699999999999818,0.45018224732779455,-0.7878189328236056,4,Session stopped (bad day)
